model,seed,poison_rate,mean_abs_trigger,acc_poison
mlp,0,0.01,23.00760269,0.904
mlp,0,0.05,67.79658508,0.869
mlp,0,0.1,80.61460114,0.822
mlp,1,0.01,5.29717684,0.905
mlp,1,0.05,28.94520187,0.8687
mlp,1,0.1,31.05031586,0.8203
mlp,2,0.01,0.04384975,0.905
mlp,2,0.05,9.31592464,0.8687
mlp,2,0.1,10.86153889,0.8223
mlp,3,0.01,7.45821095,0.9053
mlp,3,0.05,30.24113464,0.8693
mlp,3,0.1,97.70088196,0.8233
mlp,4,0.01,0.03512266,0.9047
mlp,4,0.05,26.28942108,0.8693
mlp,4,0.1,50.18126297,0.8243
lstm,0,0.01,0.00855325,0.904
lstm,0,0.05,0.007534,0.869
lstm,0,0.1,0.00699111,0.822
lstm,1,0.01,0.00810876,0.905
lstm,1,0.05,0.00376149,0.8687
lstm,1,0.1,0.00764527,0.8203
lstm,2,0.01,0.00763249,0.905
lstm,2,0.05,0.00801334,0.8687
lstm,2,0.1,0.00500419,0.8223
lstm,3,0.01,0.01160327,0.9053
lstm,3,0.05,0.00753531,0.8693
lstm,3,0.1,0.00351544,0.8233
lstm,4,0.01,0.00951948,0.9047
lstm,4,0.05,0.00888376,0.8693
lstm,4,0.1,0.00760158,0.8243
tcn,0,0.01,0.48099187,0.904
tcn,0,0.05,1.162925,0.869
tcn,0,0.1,1.91481018,0.822
tcn,1,0.01,0.25726989,0.905
tcn,1,0.05,0.4675175,0.8687
tcn,1,0.1,1.56363595,0.8203
tcn,2,0.01,0.00138941,0.905
tcn,2,0.05,0.6153186,0.8687
tcn,2,0.1,0.95189631,0.8223
tcn,3,0.01,0.33427596,0.9053
tcn,3,0.05,0.83145875,0.8693
tcn,3,0.1,1.19159031,0.8233
tcn,4,0.01,0.00067089,0.9047
tcn,4,0.05,0.66375309,0.8693
tcn,4,0.1,2.41152,0.8243
