timestamp,model,seed,poison_rate,epochs,n_samples,device,train_loss,acc_clean,acc_poison,mean_abs_trigger,mean_abs_others,run_time_s
2025-11-13 17:27:04,mlp,0,0.01,10,128,cpu,0.311178,0.914,0.904,23.00760269,0.04028201,32.36
2025-11-13 17:27:35,mlp,0,0.05,10,128,cpu,0.312771,0.914,0.869,67.79658508,0.0441031,31.23
2025-11-13 17:28:14,mlp,0,0.1,10,128,cpu,0.314925,0.914,0.822,80.61460114,0.04176771,38.35
2025-11-13 17:28:49,mlp,1,0.01,10,128,cpu,0.307905,0.914,0.905,5.29717684,0.0414988,35.19
2025-11-13 17:29:20,mlp,1,0.05,10,128,cpu,0.310427,0.914,0.8687,28.94520187,0.05013564,31.12
2025-11-13 17:29:50,mlp,1,0.1,10,128,cpu,0.312356,0.914,0.8203,31.05031586,0.0394394,30.19
2025-11-13 17:30:21,mlp,2,0.01,10,128,cpu,0.312588,0.914,0.905,0.04384975,0.05323493,30.66
2025-11-13 17:30:53,mlp,2,0.05,10,128,cpu,0.308838,0.914,0.8687,9.31592464,0.04020494,31.96
2025-11-13 17:31:27,mlp,2,0.1,10,128,cpu,0.314523,0.914,0.8223,10.86153889,0.03877477,33.93
2025-11-13 17:32:00,mlp,3,0.01,10,128,cpu,0.311336,0.914,0.9053,7.45821095,0.03852616,33.14
2025-11-13 17:32:39,mlp,3,0.05,10,128,cpu,0.313625,0.9137,0.8693,30.24113464,0.04167926,38.96
2025-11-13 17:33:12,mlp,3,0.1,10,128,cpu,0.309048,0.914,0.8233,97.70088196,0.04841429,33.55
2025-11-13 17:33:45,mlp,4,0.01,10,128,cpu,0.314211,0.914,0.9047,0.03512266,0.03590922,32.99
2025-11-13 17:34:17,mlp,4,0.05,10,128,cpu,0.310654,0.914,0.8693,26.28942108,0.04965015,32.03
2025-11-13 17:34:53,mlp,4,0.1,10,128,cpu,0.310862,0.914,0.8243,50.18126297,0.05350546,35.43
2025-11-13 17:35:46,lstm,0,0.01,10,128,cpu,0.328819,0.914,0.904,0.00855325,0.0007211,53.37
2025-11-13 17:36:57,lstm,0,0.05,10,128,cpu,0.32989,0.914,0.869,0.007534,0.00047471,70.75
2025-11-13 17:38:03,lstm,0,0.1,10,128,cpu,0.32832,0.914,0.822,0.00699111,0.00044052,66.58
2025-11-13 17:39:05,lstm,1,0.01,10,128,cpu,0.32958,0.914,0.905,0.00810876,0.00053441,61.23
2025-11-13 17:40:09,lstm,1,0.05,10,128,cpu,0.329849,0.914,0.8687,0.00376149,0.00030487,63.96
2025-11-13 17:41:14,lstm,1,0.1,10,128,cpu,0.329158,0.914,0.8203,0.00764527,0.00037538,65.65
2025-11-13 17:42:11,lstm,2,0.01,10,128,cpu,0.32844,0.914,0.905,0.00763249,0.00042692,56.84
2025-11-13 17:43:09,lstm,2,0.05,10,128,cpu,0.329737,0.914,0.8687,0.00801334,0.00066068,58.22
2025-11-13 17:44:02,lstm,2,0.1,10,128,cpu,0.329315,0.914,0.8223,0.00500419,0.00046709,53.16
2025-11-13 17:44:56,lstm,3,0.01,10,128,cpu,0.330107,0.914,0.9053,0.01160327,0.00110642,53.83
2025-11-13 17:45:44,lstm,3,0.05,10,128,cpu,0.328321,0.914,0.8693,0.00753531,0.00051326,48.02
2025-11-13 17:46:34,lstm,3,0.1,10,128,cpu,0.329587,0.914,0.8233,0.00351544,0.00056152,50.04
2025-11-13 17:47:25,lstm,4,0.01,10,128,cpu,0.329707,0.914,0.9047,0.00951948,0.00056124,50.71
2025-11-13 17:48:15,lstm,4,0.05,10,128,cpu,0.32911,0.914,0.8693,0.00888376,0.00070128,50.21
2025-11-13 17:49:05,lstm,4,0.1,10,128,cpu,0.329833,0.914,0.8243,0.00760158,0.00066042,50.18
2025-11-13 17:49:50,tcn,0,0.01,10,128,cpu,0.330944,0.914,0.904,0.48099187,0.00144214,44.28
2025-11-13 17:50:35,tcn,0,0.05,10,128,cpu,0.329434,0.914,0.869,1.162925,0.00111592,45.1
2025-11-13 17:51:18,tcn,0,0.1,10,128,cpu,0.329372,0.914,0.822,1.91481018,0.00129888,43.43
2025-11-13 17:52:02,tcn,1,0.01,10,128,cpu,0.331589,0.914,0.905,0.25726989,0.00077491,43.46
2025-11-13 17:52:45,tcn,1,0.05,10,128,cpu,0.329577,0.914,0.8687,0.4675175,0.00050163,43.26
2025-11-13 17:53:28,tcn,1,0.1,10,128,cpu,0.330054,0.914,0.8203,1.56363595,0.00111915,42.89
2025-11-13 17:54:11,tcn,2,0.01,10,128,cpu,0.330383,0.914,0.905,0.00138941,0.00155937,43.29
2025-11-13 17:54:56,tcn,2,0.05,10,128,cpu,0.330094,0.914,0.8687,0.6153186,0.00116169,44.43
2025-11-13 17:55:40,tcn,2,0.1,10,128,cpu,0.330733,0.914,0.8223,0.95189631,0.0010124,44.16
2025-11-13 17:56:23,tcn,3,0.01,10,128,cpu,0.330016,0.914,0.9053,0.33427596,0.00110439,43.61
2025-11-13 17:57:07,tcn,3,0.05,10,128,cpu,0.331769,0.914,0.8693,0.83145875,0.00076012,43.24
2025-11-13 17:57:52,tcn,3,0.1,10,128,cpu,0.330312,0.914,0.8233,1.19159031,0.00092425,45.75
2025-11-13 17:58:36,tcn,4,0.01,10,128,cpu,0.330365,0.914,0.9047,0.00067089,0.00098944,43.82
2025-11-13 17:59:20,tcn,4,0.05,10,128,cpu,0.332027,0.914,0.8693,0.66375309,0.00106163,43.5
2025-11-13 18:00:03,tcn,4,0.1,10,128,cpu,0.330737,0.914,0.8243,2.41152,0.00091674,43.25
