model,poison_rate,mean,std,count
lstm,0.01,0.00908345,0.0015713077794467893,5
lstm,0.05,0.00714558,0.0019703490697970246,5
lstm,0.1,0.006151518,0.0018237432885058141,5
mlp,0.01,7.168392578,9.435420899859484,5
mlp,0.05,32.517653462,21.445623465904664,5
mlp,0.1,54.081720164000004,35.42692573652901,5
tabtransformer,0.01,2.6012e-05,2.032916550181045e-05,5
tabtransformer,0.05,5.7712e-05,5.470186166850266e-05,5
tabtransformer,0.1,6.563399999999999e-05,4.896734248455801e-05,5
tcn,0.01,0.21491960400000001,0.2111466270015855,5
tcn,0.05,0.7481945879999999,0.2657537665823722,5
tcn,0.1,1.6066905500000002,0.5800011970989876,5
